Artículo,Categoría,PVP,Stock
Cuaderno college 100 hojas cuadros,cuaderno,2.50,80
Cuaderno universitario 100 hojas líneas,cuaderno,3.00,60
Lápiz 2B Faber Castell,lapiz,0.50,200
Lápiz HB Mongol,lapiz,0.40,150
Borrador blanco de miga,borrador,0.30,120
Regla plástica 30cm,regla,0.80,90
Tijera escolar punta redonda,tijera,1.20,70
Goma en barra 40g,pegamento,0.75,100
Sacapuntas metálico doble,sacapuntas,0.60,80
Compás de precisión,compas,2.20,40
Juego geométrico 4 piezas,regla,1.80,50
Resma de papel bond A4 75g,papel,5.20,40
Caja de 12 pinturas de colores,pinturas,3.50,60
Carpeta plástica con elástico,carpeta,1.10,100
Corrector líquido blanco,corrector,1.00,50
